Drug,Target
Azacitidine,DNMT1
Celecoxib,PDPK1
Celecoxib,PTGS2
Cladribine,RRM2
Cladribine,RRM2B
Dasatinib,ABL1
Dasatinib,ABL2
Dasatinib,BCR
Dasatinib,CSK
Dasatinib,EPHA2
Dasatinib,EPHA5
Dasatinib,EPHB4
Dasatinib,FGR
Dasatinib,FYN
Dasatinib,HSPA8
Dasatinib,KIT
Dasatinib,LCK
Dasatinib,LYN
Dasatinib,MAPK14
Dasatinib,SRC
Dasatinib,STAT5B
Dasatinib,YES1
Decitabine,DNMT1
Docetaxel,BCL2
Docetaxel,MAPT
Docetaxel,TUBB1
Everolimus,MTOR
Fulvestrant,ESR1
Gefitinib,EGFR
Lenalidomide,CDH5
Lenalidomide,PTGS2
Megestrol acetate,PGR
Mitotane,ESR1
Mitotane,PGR
Nilotinib,ABL1
Nilotinib,KIT
Paclitaxel,BCL2
Paclitaxel,MAPT
Paclitaxel,TUBB1
Romidepsin,ABCC1
Romidepsin,HDAC1
Romidepsin,HDAC2
Romidepsin,HDAC4
Sirolimus,FGF2
Sirolimus,MTOR
Thalidomide,FGFR2
Thalidomide,NFKB1
Thalidomide,PTGS2
Thalidomide,TNF
Tretinoin,RARA
Tretinoin,RARB
Tretinoin,RXRA
Tretinoin,RXRB
Tretinoin,RXRG
Vorinostat,HDAC1
Vorinostat,HDAC2
Vorinostat,HDAC3
Zoledronic acid,FDPS
